Raum;Plätze;ReservierteZeit
01/E01;193;01.02.2026 Gruppe 1: ca. 09:15 Uhr = Einlassstart / 09:30 Uhr (s.t.) = Einlassschluss (fix)
66/E33;67;01.02.2026 Gruppe 1: ca. 09:15 Uhr = Einlassstart / 09:30 Uhr (s.t.) = Einlassschluss (fix)
94/E01;28;01.02.2026 Gruppe 2: ca. 12:15 Uhr = Einlassstart / 12:30 Uhr (s.t.) = Einlassschluss (fix)
94/E03;28;01.02.2026 Gruppe 2: ca. 12:15 Uhr = Einlassstart / 12:30 Uhr (s.t.) = Einlassschluss (fix)
94/E06;29;01.02.2026 Gruppe 2: ca. 12:15 Uhr = Einlassstart / 12:30 Uhr (s.t.) = Einlassschluss (fix)
